"Concatenated","Primary_Desc","Secondary_Desc","Tertiary_Desc","Quaternary_Desc"
"CL06YF","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Cycling Sports Facility"
"CL06DS","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Diving / Swimming Facility"
"CL06EQ","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Equestrian Sports Facility"
"CL06FB","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Football Facility"
"CL06FI","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Fishing / Angling Facility"
"CL06GF","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Golf Facility"
"CL06GL","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Gliding Facility"
"CL06GR","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Greyhound Racing Facility"
"CL06HF","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Hockey Facility"
"CL06HR","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Horse Racing Facility"
"CL06HV","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Historic Vessel / Aircraft / Vehicle"
"CL06LS","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Activity / Leisure / Sports Centre"
"CL06ME","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Model Sports Facility"
"CL06MF","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Motor Sports Facility"
"CL06PF","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Playing Field"
"CL06QS","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Racquet Sports Facility"
"CL06RF","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Rugby Facility"
"CL06RG","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Recreation Ground"
"CL06SI","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Shinty Facility"
"CL06SK","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Skateboarding Facility"
"CL06SX","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Civilian Firing Facility"
"CL06TB","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Tenpin Bowling Facility"
"CL06TN","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Public Tennis Court"
"CL06WA","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Water Sports Facility"
"CL06WP","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Winter Sports Facility"
"CL06WY","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Wildlife Sports Facility"
"CL07","Commercial","Leisure - Applicable to recreational sites and enterprises","Bingo Hall / Cinema / Conference / Exhibition Centre / Theatre / Concert Hall",""
"CL07TH","Commercial","Leisure - Applicable to recreational sites and enterprises","Bingo Hall / Cinema / Conference / Exhibition Centre / Theatre / Concert Hall","Theatre"
"CL07CI","Commercial","Leisure - Applicable to recreational sites and enterprises","Bingo Hall / Cinema / Conference / Exhibition Centre / Theatre / Concert Hall","Cinema"
"CL07EN","Commercial","Leisure - Applicable to recreational sites and enterprises","Bingo Hall / Cinema / Conference / Exhibition Centre / Theatre / Concert Hall","Entertainment Complex"
"CL07EX","Commercial","Leisure - Applicable to recreational sites and enterprises","Bingo Hall / Cinema / Conference / Exhibition Centre / Theatre / Concert Hall","Conference / Exhibition Centre"
"CL08","Commercial","Leisure - Applicable to recreational sites and enterprises","Zoo / Theme Park",""
"CL08AK","Commercial","Leisure - Applicable to recreational sites and enterprises","Zoo / Theme Park","Amusement Park"
"CL08MX","Commercial","Leisure - Applicable to recreational sites and enterprises","Zoo / Theme Park","Model Village Site"
"CL08WZ","Commercial","Leisure - Applicable to recreational sites and enterprises","Zoo / Theme Park","Wildlife / Zoological Park"
"CL08AQ","Commercial","Leisure - Applicable to recreational sites and enterprises","Zoo / Theme Park","Aquatic Attraction"
"CL09","Commercial","Leisure - Applicable to recreational sites and enterprises","Beach Hut (Recreational, Non-Residential Use Only)",""
"CL10","Commercial","Leisure - Applicable to recreational sites and enterprises","Licensed Private Members’ Club",""
"CL10RE","Commercial","Leisure - Applicable to recreational sites and enterprises","Licensed Private Members’ Club","Recreational / Social Club"
"CL11","Commercial","Leisure - Applicable to recreational sites and enterprises","Arena / Stadium",""
"CL11SD","Commercial","Leisure - Applicable to recreational sites and enterprises","Arena / Stadium","Stadium"
"CL11SJ","Commercial","Leisure - Applicable to recreational sites and enterprises","Arena / Stadium","Showground"
"CM","Commercial","Medical","",""
"CM01","Commercial","Medical","Dentist",""
"CM02","Commercial","Medical","General Practice Surgery / Clinic",""
"CM02HL","Commercial","Medical","General Practice Surgery / Clinic","Health Care Services"
"CM02HC","Commercial","Medical","General Practice Surgery / Clinic","Health Centre"
"CM03","Commercial","Medical","Hospital / Hospice",""
"CM03HI","Commercial","Medical","Hospital / Hospice","Hospice"
"CM03HP","Commercial","Medical","Hospital / Hospice","Hospital"
"CM04","Commercial","Medical","Medical / Testing / Research Laboratory",""
"CM05","Commercial","Medical","Professional Medical Service",""
"CM05ZS","Commercial","Medical","Professional Medical Service","Assessment / Development Services"
"CN","Commercial","Animal Centre","",""
"CN01","Commercial","Animal Centre","Cattery / Kennel",""
"CN02","Commercial","Animal Centre","Animal Services",""
"CN02AX","Commercial","Animal Centre","Animal Services","Animal Quarantining"
"CN03","Commercial","Animal Centre","Equestrian",""
"CN03HB","Commercial","Animal Centre","Equestrian","Horse Racing / Breeding Stable"
"CN03SB","Commercial","Animal Centre","Equestrian","Commercial Stabling / Riding"
"CN04","Commercial","Animal Centre","Vet / Animal Medical Treatment",""
"CN05","Commercial","Animal Centre","Animal / Bird / Marine Sanctuary",""
"CN05AN","Commercial","Animal Centre","Animal / Bird / Marine Sanctuary","Animal Sanctuary"
"CN05MR","Commercial","Animal Centre","Animal / Bird / Marine Sanctuary","Marine Sanctuary"
"CO","Commercial","Office","",""
"CO01","Commercial","Office","Office / Work Studio",""
"CO01EM","Commercial","Office","Office / Work Studio","Embassy /, High Commission / Consulate"
"CO01FM","Commercial","Office","Office / Work Studio","Film Studio"
"CO01GV","Commercial","Office","Office / Work Studio","Central Government Service"
"CO01LG","Commercial","Office","Office / Work Studio","Local Government Service"
"CO02","Commercial","Office","Broadcasting (TV / Radio)",""
"CR","Commercial","Retail","",""
"CR01","Commercial","Retail","Bank / Financial Service",""
"CR02","Commercial","Retail","Retail Service Agent",""
"CR02PO","Commercial","Retail","Retail Service Agent","Post Office"
"CR04","Commercial","Retail","Market (Indoor / Outdoor)",""
"CR04FK","Commercial","Retail","Market (Indoor / Outdoor)","Fish Market"
"CR04FV","Commercial","Retail","Market (Indoor / Outdoor)","Fruit / Vegetable Market"
"CR04LV","Commercial","Retail","Market (Indoor / Outdoor)","Livestock Market"
"CR05","Commercial","Retail","Petrol Filling Station",""
"CR06","Commercial","Retail","Public House / Bar / Nightclub ",""
"CR07","Commercial","Retail","Restaurant / Cafeteria",""
"CR08","Commercial","Retail","Shop / Showroom",""
"CR08GC","Commercial","Retail","Shop / Showroom","Garden Centre"
"CR09","Commercial","Retail","Other Licensed Premise / Vendor",""
"CR10","Commercial","Retail","Fast Food Outlet / Takeaway (Hot / Cold)",""
"CR11","Commercial","Retail","Automated Teller Machine (ATM)",""
"CS","Commercial","Storage Land","",""
"CS01","Commercial","Storage Land","General Storage Land",""
"CS02","Commercial","Storage Land","Builders’ Yard",""
"CT","Commercial","Transport","",""
"CT01","Commercial","Transport","Airfield / Airstrip / Airport / Air Transport Infrastructure Facility",""
"CT01AF","Commercial","Transport","Airfield / Airstrip / Airport / Air Transport Infrastructure Facility","Airfield"
"CT01AY","Commercial","Transport","Airfield / Airstrip / Airport / Air Transport Infrastructure Facility","Air Passenger Terminal"
"CT01AI","Commercial","Transport","Airfield / Airstrip / Airport / Air Transport Infrastructure Facility","Air Transport Infrastructure Services"
"CT01AP","Commercial","Transport","Airfield / Airstrip / Airport / Air Transport Infrastructure Facility","Airport"
"CT01HS","Commercial","Transport","Airfield / Airstrip / Airport / Air Transport Infrastructure Facility","Helicopter Station"
