"Concatenated","Class_Desc","Primary_Code","Secondary_Code","Tertiary_Code","Quaternary_Code","Primary_Desc","Secondary_Desc","Tertiary_Desc","Quaternary_Desc"
"CL06CK","Cricket Facility","C","L","06","CK","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Cricket Facility"
"CL06CU","Curling Facility","C","L","06","CU","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Curling Facility"
"CL06YF","Cycling Sports Facility","C","L","06","YF","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Cycling Sports Facility"
"CL06DS","Diving / Swimming Facility","C","L","06","DS","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Diving / Swimming Facility"
"CL06EQ","Equestrian Sports Facility","C","L","06","EQ","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Equestrian Sports Facility"
"CL06FB","Football Facility","C","L","06","FB","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Football Facility"
"CL06FI","Fishing / Angling Facility","C","L","06","FI","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Fishing / Angling Facility"
"CL06GF","Golf Facility","C","L","06","GF","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Golf Facility"
"CL06GL","Gliding Facility","C","L","06","GL","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Gliding Facility"
"CL06GR","Greyhound Racing Facility","C","L","06","GR","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Greyhound Racing Facility"
"CL06HF","Hockey Facility","C","L","06","HF","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Hockey Facility"
"CL06HR","Horse Racing Facility","C","L","06","HR","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Horse Racing Facility"
"CL06HV","Historic Vessel / Aircraft / Vehicle","C","L","06","HV","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Historic Vessel / Aircraft / Vehicle"
