"Concatenated","Class_Desc","Primary_Code","Secondary_Code","Tertiary_Code","Quaternary_Code","Primary_Desc","Secondary_Desc","Tertiary_Desc","Quaternary_Desc"
"OO03","Simple Ornamental Object","O","O","03","","Other (Ordnance Survey Only)","Ornamental / Cultural Object","Simple Ornamental Object",""
"OO04","Maze","O","O","04","","Other (Ordnance Survey Only)","Ornamental / Cultural Object","Maze",""
"OP","Sport / Leisure Support","O","P","","","Other (Ordnance Survey Only)","Sport / Leisure Support","",""
"OP01","Butt / Hide","O","P","01","","Other (Ordnance Survey Only)","Sport / Leisure Support","Butt / Hide",""
"OP02","Gallop / Ride","O","P","02","","Other (Ordnance Survey Only)","Sport / Leisure Support","Gallop / Ride",""
"OP03","Miniature Railway","O","P","03","","Other (Ordnance Survey Only)","Sport / Leisure Support","Miniature Railway",""
"OR","Royal Mail Infrastructure","O","R","","","Other (Ordnance Survey Only)","Royal Mail Infrastructure","",""
"OR01","Postal Box","O","R","01","","Other (Ordnance Survey Only)","Royal Mail Infrastructure","Postal Box",""
"OR02","Postal Delivery Box / Pouch","O","R","02","","Other (Ordnance Survey Only)","Royal Mail Infrastructure","Postal Delivery Box / Pouch",""
"OR03","PO Box","O","R","03","","Other (Ordnance Survey Only)","Royal Mail Infrastructure","PO Box",""
"OR04","Additional Mail / Packet Addressee","O","R","04","","Other (Ordnance Survey Only)","Royal Mail Infrastructure","Additional Mail / Packet Addressee",""
"OS","Scientific / Observation Support","O","S","","","Other (Ordnance Survey Only)","Scientific / Observation Support","",""
"OS01","Meteorological Station / Equipment","O","S","01","","Other (Ordnance Survey Only)","Scientific / Observation Support","Meteorological Station / Equipment",""
"OS02","Radar / Satellite Infrastructure","O","S","02","","Other (Ordnance Survey Only)","Scientific / Observation Support","Radar / Satellite Infrastructure",""
"OS03","Telescope / Observation Infrastructure / Astronomy","O","S","03","","Other (Ordnance Survey Only)","Scientific / Observation Support","Telescope / Observation Infrastructure / Astronomy",""
"OT","Transport Support","O","T","","","Other (Ordnance Survey Only)","Transport Support","",""
"OT01","Cattle Grid / Ford","O","T","01","","Other (Ordnance Survey Only)","Transport Support","Cattle Grid / Ford",""
"OT02","Elevator / Escalator / Steps","O","T","02","","Other (Ordnance Survey Only)","Transport Support","Elevator / Escalator / Steps",""
"OT03","Footbridge / Walkway","O","T","03","","Other (Ordnance Survey Only)","Transport Support","Footbridge / Walkway",""
"OT04","Pole / Post / Bollard (Restricting Vehicular Access)","O","T","04","","Other (Ordnance Survey Only)","Transport Support","Pole / Post / Bollard (Restricting Vehicular Access)",""
"OT05","Subway / Underpass","O","T","05","","Other (Ordnance Survey Only)","Transport Support","Subway / Underpass",""
"OT06","Customs Inspection Facility","O","T","06","","Other (Ordnance Survey Only)","Transport Support","Customs Inspection Facility",""
"OT07","Lay-By","O","T","07","","Other (Ordnance Survey Only)","Transport Support","Lay-By",""
"OT08","Level Crossing","O","T","08","","Other (Ordnance Survey Only)","Transport Support","Level Crossing",""
"OT09","Mail Pick Up","O","T","09","","Other (Ordnance Survey Only)","Transport Support","Mail Pick Up",""
"OT10","Railway Pedestrian Crossing","O","T","10","","Other (Ordnance Survey Only)","Transport Support","Railway Pedestrian Crossing",""
"OT11","Railway Buffer","O","T","11","","Other (Ordnance Survey Only)","Transport Support","Railway Buffer",""
"OT12","Rail Drag","O","T","12","","Other (Ordnance Survey Only)","Transport Support","Rail Drag",""
"OT13","Rail Infrastructure Services","O","T","13","","Other (Ordnance Survey Only)","Transport Support","Rail Infrastructure Services",""
"OT14","Rail Kilometre Distance Marker","O","T","14","","Other (Ordnance Survey Only)","Transport Support","Rail Kilometre Distance Marker",""
"OT15","Railway Lighting","O","T","15","","Other (Ordnance Survey Only)","Transport Support","Railway Lighting",""
"OT16","Rail Mile Distance Marker","O","T","16","","Other (Ordnance Survey Only)","Transport Support","Rail Mile Distance Marker",""
"OT17","Railway Turntable","O","T","17","","Other (Ordnance Survey Only)","Transport Support","Railway Turntable",""
"OT18","Rail Weighbridge","O","T","18","","Other (Ordnance Survey Only)","Transport Support","Rail Weighbridge",""
"OT19","Rail Signalling","O","T","19","","Other (Ordnance Survey Only)","Transport Support","Rail Signalling",""
"OT20","Railway Traverse","O","T","20","","Other (Ordnance Survey Only)","Transport Support","Railway Traverse",""
"OT21","Goods Tramway","O","T","21","","Other (Ordnance Survey Only)","Transport Support","Goods Tramway",""
"OT22","Road Drag","O","T","22","","Other (Ordnance Survey Only)","Transport Support","Road Drag",""
"OT23","Vehicle Dip","O","T","23","","Other (Ordnance Survey Only)","Transport Support","Vehicle Dip",""
"OT24","Road Turntable","O","T","24","","Other (Ordnance Survey Only)","Transport Support","Road Turntable",""
"OT25","Road Mile Distance Marker","O","T","25","","Other (Ordnance Survey Only)","Transport Support","Road Mile Distance Marker",""
"OT26","Road Kilometre Distance Marker","O","T","26","","Other (Ordnance Survey Only)","Transport Support","Road Kilometre Distance Marker",""
"OT27","Road Infrastructure Services","O","T","27","","Other (Ordnance Survey Only)","Transport Support","Road Infrastructure Services",""
"OU","Unsupported Site","O","U","","","Other (Ordnance Survey Only)","Unsupported Site","",""
"OU01","Cycle Parking Facility","O","U","01","","Other (Ordnance Survey Only)","Unsupported Site","Cycle Parking Facility",""
"OU04","Picnic / Barbeque Site","O","U","04","","Other (Ordnance Survey Only)","Unsupported Site","Picnic / Barbeque Site",""
"OU05","Travelling Persons Site","O","U","05","","Other (Ordnance Survey Only)","Unsupported Site","Travelling Persons Site",""
"OU08","Shelter (Not Including Bus Shelter)","O","U","08","","Other (Ordnance Survey Only)","Unsupported Site","Shelter (Not Including Bus Shelter)",""
"P","Parent Shell","P","","","","Parent Shell","","",""
"PP","Property Shell","P","P","","","Parent Shell","Property Shell","",""
"PS","Street Record","P","S","","","Parent Shell","Street Record","",""
"R","Residential","R","","","","Residential","","",""
"RB","Ancillary Building","R","B","","","Residential","Ancillary Building","",""
"RC","Car Park Space","R","C","","","Residential","Car Park Space","",""
"RC01","Allocated Parking","R","C","01","","Residential","Car Park Space","Allocated Parking",""
"RD","Dwelling","R","D","","","Residential","Dwelling","",""
"RD01","Caravan","R","D","01","","Residential","Dwelling","Caravan",""
"RD02","Detached","R","D","02","","Residential","Dwelling","Detached",""
"RD03","Semi-Detached","R","D","03","","Residential","Dwelling","Semi-Detached",""
"RD04","Terraced","R","D","04","","Residential","Dwelling","Terraced",""
"RD06","Self Contained Flat (Includes Maisonette / Apartment)","R","D","06","","Residential","Dwelling","Self Contained Flat (Includes Maisonette / Apartment)",""
"RD07","House Boat","R","D","07","","Residential","Dwelling","House Boat",""
"RD08","Sheltered Accommodation","R","D","08","","Residential","Dwelling","Sheltered Accommodation",""
"RD10","Privately Owned Holiday Caravan / Chalet","R","D","10","","Residential","Dwelling","Privately Owned Holiday Caravan / Chalet",""
"RG","Garage","R","G","","","Residential","Garage","",""
"RG02","Lock-Up Garage / Garage Court","R","G","02","","Residential","Garage","Lock-Up Garage / Garage Court",""
"RH","House In Multiple Occupation","R","H","","","Residential","House In Multiple Occupation","",""
"RH01","HMO Parent","R","H","01","","Residential","House In Multiple Occupation","HMO Parent",""
"RH02","HMO Bedsit / Other Non Self Contained Accommodation","R","H","02","","Residential","House In Multiple Occupation","HMO Bedsit / Other Non Self Contained Accommodation",""
"RH03","HMO Not Further Divided","R","H","03","","Residential","House In Multiple Occupation","HMO Not Further Divided",""
"RI","Residential Institution","R","I","","","Residential","Residential Institution","",""
"RI01","Care / Nursing Home","R","I","01","","Residential","Residential Institution","Care / Nursing Home",""
"RI02","Communal Residence","R","I","02","","Residential","Residential Institution","Communal Residence",""
"RI02NC","Non-Commercial Lodgings","R","I","02","NC","Residential","Residential Institution","Communal Residence","Non-Commercial Lodgings"
"RI02RC","Religious Community","R","I","02","RC","Residential","Residential Institution","Communal Residence","Religious Community"
"RI03","Residential Education","R","I","03","","Residential","Residential Institution","Residential Education",""
"U","Unclassified","U","","","","Unclassified","","",""
"UC","Awaiting Classification","U","C","","","Unclassified","Awaiting Classification","",""
"UP","Pending Internal Investigation","U","P","","","Unclassified","Pending Internal Investigation","",""
"X","Dual Use","X","","","","Dual Use","","",""
"Z","Object of Interest","Z","","","","Object of Interest","","",""
"ZA","Archaeological Dig Site","Z","A","","","Object of Interest","Archaeological Dig Site","",""
"ZM","Monument","Z","M","","","Object of Interest","Monument","",""
"ZM01","Obelisk / Milestone / Standing Stone","Z","M","01","","Object of Interest","Monument","Obelisk / Milestone / Standing Stone",""
"ZM01OB","Obelisk","Z","M","01","OB","Object of Interest","Monument","Obelisk / Milestone / Standing Stone","Obelisk"
"ZM01ST","Standing Stone","Z","M","01","ST","Object of Interest","Monument","Obelisk / Milestone / Standing Stone","Standing Stone"
"ZM02","Memorial / Market Cross","Z","M","02","","Object of Interest","Monument","Memorial / Market Cross",""
"ZM03","Statue","Z","M","03","","Object of Interest","Monument","Statue",""
"ZM04","Castle / Historic Ruin","Z","M","04","","Object of Interest","Monument","Castle / Historic Ruin",""
"ZM05","Other Structure","Z","M","05","","Object of Interest","Monument","Other Structure",""
"ZM05BS","Boundary Stone","Z","M","05","BS","Object of Interest","Monument","Other Structure","Boundary Stone"
"ZM05PN","Permanent Art Display / Sculpture","Z","M","05","PN","Object of Interest","Monument","Other Structure","Permanent Art Display / Sculpture"
"ZM05CE","Cascade / Fountain","Z","M","05","CE","Object of Interest","Monument","Other Structure","Cascade / Fountain"
"ZM05WI","Windmill (Inactive)","Z","M","05","WI","Object of Interest","Monument","Other Structure","Windmill (Inactive)"
"ZS","Stately Home","Z","S","","","Object of Interest","Stately Home","",""
"ZU","Underground Feature","Z","U","","","Object of Interest","Underground Feature","",""
"ZU01","Cave","Z","U","01","","Object of Interest","Underground Feature","Cave",""
"ZU04","Pothole / Natural Hole","Z","U","04","","Object of Interest","Underground Feature","Pothole / Natural Hole",""
"ZV","Other Underground Feature","Z","V","","","Object of Interest","Other Underground Feature","",""
"ZV01","Cellar","Z","V","01","","Object of Interest","Other Underground Feature","Cellar",""
"ZV02","Disused Mine","Z","V","02","","Object of Interest","Other Underground Feature","Disused Mine",""
"ZV02MI","Mineral Mining / Inactive","Z","V","02","MI","Object of Interest","Other Underground Feature","Disused Mine","Mineral Mining / Inactive"
"ZV02OI","Oil And / Gas Extraction/ Inactive","Z","V","02","OI","Object of Interest","Other Underground Feature","Disused Mine","Oil And / Gas Extraction/ Inactive"
"ZV02QI","Mineral Quarrying And / Open Extraction / Inactive","Z","V","02","QI","Object of Interest","Other Underground Feature","Disused Mine","Mineral Quarrying And / Open Extraction / Inactive"
"ZV03","Well / Spring","Z","V","03","","Object of Interest","Other Underground Feature","Well / Spring",""
"ZV03SG","Spring","Z","V","03","SG","Object of Interest","Other Underground Feature","Well / Spring","Spring"
"ZV03WL","Well","Z","V","03","WL","Object of Interest","Other Underground Feature","Well / Spring","Well"
"ZW","Place Of Worship","Z","W","","","Object of Interest","Place Of Worship","",""
"ZW99AB","Abbey","Z","W","99","AB","Object of Interest","Place Of Worship","","Abbey"
"ZW99CA","Cathedral","Z","W","99","CA","Object of Interest","Place Of Worship","","Cathedral"
"ZW99CH","Church","Z","W","99","CH","Object of Interest","Place Of Worship","","Church"
"ZW99CP","Chapel","Z","W","99","CP","Object of Interest","Place Of Worship","","Chapel"
"ZW99GU","Gurdwara","Z","W","99","GU","Object of Interest","Place Of Worship","","Gurdwara"
"ZW99KH","Kingdom Hall","Z","W","99","KH","Object of Interest","Place Of Worship","","Kingdom Hall"
"ZW99MQ","Mosque","Z","W","99","MQ","Object of Interest","Place Of Worship","","Mosque"
"ZW99MT","Minster","Z","W","99","MT","Object of Interest","Place Of Worship","","Minster"
"ZW99SU","Stupa","Z","W","99","SU","Object of Interest","Place Of Worship","","Stupa"
"ZW99SY","Synagogue","Z","W","99","SY","Object of Interest","Place Of Worship","","Synagogue"
"ZW99TP","Temple","Z","W","99","TP","Object of Interest","Place Of Worship","","Temple"
"ZW99LG","Lych Gate","Z","W","99","LG","Object of Interest","Place Of Worship","","Lych Gate"
